,Zone de référence,Secteur institutionnel,TIME_PERIOD,OBS_VALUE,Multiplicateur d'unité,CURRENCY
7190,Norway,Ménages,1995-03-01,0.020314085694136175,Millions,NOK
7191,Norway,Ménages,1995-06-01,0.014385740135091085,Millions,NOK
7192,Norway,Ménages,1995-09-01,0.007761170878713086,Millions,NOK
7193,Norway,Ménages,1995-12-01,-0.0011708765082593109,Millions,NOK
7194,Norway,Ménages,1996-03-01,0.05253106735203805,Millions,NOK
7195,Norway,Ménages,1996-06-01,-0.005856301013872134,Millions,NOK
7196,Norway,Ménages,1996-09-01,0.013938051933707563,Millions,NOK
7197,Norway,Ménages,1996-12-01,0.01144846117534759,Millions,NOK
7198,Norway,Ménages,1997-03-01,-0.013021581257949388,Millions,NOK
7199,Norway,Ménages,1997-06-01,0.022983190002338283,Millions,NOK
7200,Norway,Ménages,1997-09-01,0.011759148261779373,Millions,NOK
7201,Norway,Ménages,1997-12-01,0.021397408413368568,Millions,NOK
7202,Norway,Ménages,1998-03-01,-0.02466022757993558,Millions,NOK
7203,Norway,Ménages,1998-06-01,0.035932428891083834,Millions,NOK
7204,Norway,Ménages,1998-09-01,0.0002772939997470747,Millions,NOK
7205,Norway,Ménages,1998-12-01,-0.00759672202903483,Millions,NOK
7206,Norway,Ménages,1999-03-01,0.01851479762610686,Millions,NOK
7207,Norway,Ménages,1999-06-01,-0.002227771602888895,Millions,NOK
7208,Norway,Ménages,1999-09-01,0.029908182554685414,Millions,NOK
7209,Norway,Ménages,1999-12-01,0.007927143325373365,Millions,NOK
7210,Norway,Ménages,2000-03-01,0.012403432080757115,Millions,NOK
7211,Norway,Ménages,2000-06-01,0.011806380860172716,Millions,NOK
7212,Norway,Ménages,2000-09-01,-0.0006893236465220776,Millions,NOK
7213,Norway,Ménages,2000-12-01,-0.0028227306969693666,Millions,NOK
7214,Norway,Ménages,2001-03-01,0.011595944150146531,Millions,NOK
7215,Norway,Ménages,2001-06-01,0.009182112650710783,Millions,NOK
7216,Norway,Ménages,2001-09-01,-0.001979306440324402,Millions,NOK
7217,Norway,Ménages,2001-12-01,0.014686635965284411,Millions,NOK
7218,Norway,Ménages,2002-03-01,0.006862852992318258,Millions,NOK
7219,Norway,Ménages,2002-06-01,-0.0033140378797152925,Millions,NOK
7220,Norway,Ménages,2002-09-01,0.008891676829000827,Millions,NOK
7221,Norway,Ménages,2002-12-01,0.02563121486306108,Millions,NOK
7222,Norway,Ménages,2003-03-01,-0.01767364172827779,Millions,NOK
7223,Norway,Ménages,2003-06-01,0.013913403734695962,Millions,NOK
7224,Norway,Ménages,2003-09-01,0.01542927433462582,Millions,NOK
7225,Norway,Ménages,2003-12-01,0.019202072365111844,Millions,NOK
7226,Norway,Ménages,2004-03-01,0.017030709564916924,Millions,NOK
7227,Norway,Ménages,2004-06-01,0.0029196489951068827,Millions,NOK
7228,Norway,Ménages,2004-09-01,0.004568327338999811,Millions,NOK
7229,Norway,Ménages,2004-12-01,0.009765397659997177,Millions,NOK
7230,Norway,Ménages,2005-03-01,0.009690831471750316,Millions,NOK
7231,Norway,Ménages,2005-06-01,0.01467230410682796,Millions,NOK
7232,Norway,Ménages,2005-09-01,0.015034355928192022,Millions,NOK
7233,Norway,Ménages,2005-12-01,-0.0031763869458523164,Millions,NOK
7234,Norway,Ménages,2006-03-01,0.013547454435995698,Millions,NOK
7235,Norway,Ménages,2006-06-01,0.020615163438256756,Millions,NOK
7236,Norway,Ménages,2006-09-01,0.014193624916131853,Millions,NOK
7237,Norway,Ménages,2006-12-01,0.009985453110037401,Millions,NOK
7238,Norway,Ménages,2007-03-01,0.023319943545760502,Millions,NOK
7239,Norway,Ménages,2007-06-01,0.004763521398714277,Millions,NOK
7240,Norway,Ménages,2007-09-01,0.011635887526793232,Millions,NOK
7241,Norway,Ménages,2007-12-01,0.012872833797799021,Millions,NOK
7242,Norway,Ménages,2008-03-01,0.0014873234018142334,Millions,NOK
7243,Norway,Ménages,2008-06-01,0.005110440389628268,Millions,NOK
7244,Norway,Ménages,2008-09-01,-0.011465620201330795,Millions,NOK
7245,Norway,Ménages,2008-12-01,-0.009775967413442,Millions,NOK
7246,Norway,Ménages,2009-03-01,-0.009719094464857192,Millions,NOK
7247,Norway,Ménages,2009-06-01,0.015999577568909018,Millions,NOK
